red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20
30.43,30.43,31.56,31.56,30.43,31.56,31.56,31.56,31.56,31.56,31.56,31.56,31.56,31.56,31.56,31.56,31.56,31.56,31.56,30.43
61.98,60.86,51.84,52.97,52.97,51.84,52.97,52.97,51.84,52.97,51.84,51.84,50.71,50.71,50.71,51.84,50.71,51.84,51.84,50.71
67.62,65.36,66.49,68.75,52.97,57.48,57.48,58.6,58.6,56.35,49.59,56.35,54.09,55.22,55.22,55.22,54.09,54.09,55.22,54.09
92.41,99.17,101.43,100.3,99.17,101.43,101.43,103.68,103.68,103.68,104.81,104.81,105.94,105.94,107.06,107.06,107.06,105.94,105.94,107.06
120.59,125.09,129.6,135.24,136.36,137.49,138.62,138.62,137.49,137.49,137.49,137.49,137.49,137.49,138.62,138.62,138.62,138.62,138.62,139.74
31.56,34.94,34.94,34.94,36.06,36.06,36.06,33.81,36.06,33.81,36.06,37.19,37.19,37.19,38.32,38.32,38.32,38.32,38.32,38.32
7.89,7.89,7.89,7.89,7.89,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76
15.78,15.78,15.78,15.78,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,15.78,16.9,16.9,15.78,15.78,15.78,15.78
24.79,25.92,27.05,27.05,27.05,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17,28.17
42.83,43.95,45.08,46.21,47.33,46.21,46.21,46.21,46.21,46.21,46.21,45.08,40.57,46.21,46.21,47.33,47.33,47.33,48.46,47.33
25.92,25.92,28.17,30.43,43.95,39.44,39.44,38.32,38.32,38.32,37.19,37.19,37.19,37.19,37.19,37.19,38.32,38.32,38.32,38.32
22.54,22.54,22.54,22.54,22.54,23.67,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,21.41,22.54,21.41,21.41,20.29,22.54
21.41,21.41,22.54,22.54,22.54,21.41,21.41,21.41,21.41,19.16,19.16,21.41,21.41,20.29,20.29,21.41,20.29,21.41,20.29,20.29
56.35,57.48,58.6,59.73,59.73,61.98,60.86,61.98,63.11,63.11,63.11,63.11,64.24,64.24,64.24,65.36,65.36,65.36,65.36,65.36
32.68,32.68,33.81,33.81,33.81,33.81,33.81,32.68,33.81,33.81,33.81,33.81,34.94,34.94,34.94,34.94,34.94,36.06,36.06,36.06
57.48,66.49,64.24,65.36,63.11,61.98,61.98,60.86,60.86,59.73,60.86,59.73,59.73,59.73,59.73,59.73,58.6,58.6,58.6,58.6
71,74.38,76.63,76.63,78.89,78.89,77.76,78.89,78.89,76.63,77.76,78.89,80.02,80.02,80.02,80.02,80.02,78.89,78.89,78.89
23.67,24.79,24.79,24.79,24.79,23.67,23.67,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79
46.21,45.08,46.21,46.21,46.21,45.08,46.21,45.08,45.08,45.08,46.21,45.08,45.08,45.08,46.21,46.21,46.21,46.21,46.21,46.21
13.52,13.52,12.4,12.4,12.4,12.4,13.52,13.52,12.4,13.52,12.4,13.52,12.4,12.4,12.4,13.52,12.4,13.52,13.52,12.4
36.06,36.06,32.68,37.19,39.44,39.44,39.44,38.32,38.32,38.32,38.32,38.32,37.19,38.32,38.32,38.32,38.32,38.32,38.32,38.32
23.67,23.67,23.67,23.67,23.67,24.79,23.67,23.67,23.67,24.79,23.67,23.67,23.67,23.67,24.79,23.67,23.67,24.79,23.67,23.67
37.19,38.32,37.19,37.19,36.06,36.06,36.06,34.94,34.94,33.81,34.94,36.06,38.32,39.44,38.32,39.44,38.32,38.32,38.32,37.19
77.76,78.89,78.89,78.89,78.89,77.76,77.76,78.89,77.76,77.76,77.76,78.89,78.89,78.89,77.76,77.76,77.76,77.76,78.89,78.89
25.92,25.92,25.92,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79
41.7,42.83,45.08,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95
38.32,38.32,38.32,38.32,38.32,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,38.32,38.32,38.32,38.32,38.32
83.4,84.52,86.78,87.9,90.16,91.29,91.29,91.29,90.16,90.16,92.41,90.16,91.29,92.41,92.41,92.41,92.41,92.41,93.54,93.54
67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62
57.48,58.6,58.6,58.6,58.6,56.35,55.22,55.22,55.22,55.22,56.35,55.22,56.35,56.35,55.22,56.35,56.35,56.35,56.35,56.35
57.48,56.35,64.24,66.49,66.49,67.62,68.75,67.62,68.75,67.62,67.62,67.62,66.49,67.62,66.49,64.24,63.11,58.6,58.6,56.35
43.95,45.08,47.33,47.33,48.46,48.46,48.46,48.46,48.46,47.33,48.46,48.46,47.33,47.33,48.46,48.46,48.46,48.46,48.46,48.46
73.25,76.63,76.63,73.25,77.76,77.76,76.63,77.76,80.02,80.02,80.02,83.4,83.4,84.52,84.52,84.52,83.4,83.4,77.76,81.14
21.41,22.54,21.41,22.54,21.41,21.41,22.54,21.41,21.41,20.29,21.41,21.41,21.41,21.41,21.41,21.41,21.41,21.41,20.29,21.41
64.24,63.11,65.36,65.36,65.36,65.36,66.49,67.62,67.62,66.49,67.62,68.75,68.75,67.62,67.62,67.62,67.62,66.49,66.49,67.62
28.17,29.3,29.3,31.56,31.56,30.43,30.43,30.43,30.43,32.68,31.56,31.56,31.56,32.68,32.68,32.68,29.3,29.3,29.3,30.43
22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.54
23.67,24.79,24.79,24.79,25.92,24.79,25.92,25.92,25.92,25.92,27.05,27.05,25.92,25.92,24.79,24.79,23.67,23.67,23.67,23.67
68.75,68.75,67.62,67.62,67.62,68.75,69.87,71,74.38,76.63,76.63,76.63,76.63,77.76,77.76,77.76,77.76,78.89,78.89,80.02
49.59,50.71,49.59,45.08,45.08,43.95,43.95,43.95,43.95,43.95,43.95,43.95,45.08,45.08,45.08,45.08,45.08,45.08,45.08,45.08
42.83,42.83,43.95,43.95,43.95,45.08,45.08,48.46,46.21,46.21,45.08,43.95,45.08,45.08,45.08,46.21,45.08,45.08,46.21,46.21
52.97,55.22,54.09,55.22,55.22,55.22,56.35,56.35,55.22,56.35,56.35,55.22,56.35,56.35,56.35,56.35,56.35,55.22,56.35,56.35
37.19,38.32,37.19,37.19,36.06,36.06,36.06,34.94,34.94,33.81,34.94,36.06,38.32,39.44,38.32,39.44,38.32,38.32,38.32,37.19
